XXII
FAX
IAF
CH
ETF
FCO
IF
ISL
ACU
ATNM
AE
ADK
ADK^A
API
ACY
WGA
AIRI
AA^
AXX
AXU
ANV
AAU
APT
ALTV
AAMC
DIT
APP
ADGE
AMZG
ALN
AMS
AQQ
AMPE
AXN
AMCO
HRT
AKG
AINC
AST
ATL
AWX
AVL
ASM
BTG
BONE
BTN
BKJ
BCV
BAA
BHB
BRN
BIR^A
BGSF
BTX
BTX/WS
BGI
BQY
BZM
MHE
BLE
BLJ
BFY
BPS
BHV
BDR
BRG
BVX
BWL/A
BZC
BTI
CAK
CANF
ROX
CAW
CVM
CVM/WS
CEF
GTU
CET
CCF
CQH
CQP
LNG
CVR
CNR
CPHI
CKX
GLV
GLQ
GLO
CRV
MOC
CIX
LODE
CTO
MCF
CUO
CMT
CRMD
CRMD/WS
CFP
CRF
CLM
COVR
CVU
CIK
DHY
EXE
CRVP
CTP
CVSL
DAKP
DXR
DEJ
VCF
VFL
VMM
DLA
DNN
DGSE
DPW
DSS
DMF
GRF
ESTE
EVM
EIA
CEV
EVV
MAB
MMV
MIW
EMI
EIM
EIV
EMJ
EVJ
ENX
NYH
EVY
EIO
EVO
EIP
EVP
ELMD
ETAK
ELLO
ECF
EMAN
EOX
MSN
UUUU
ENRJ
ENRJ^
ENSV
EGI
EVI
ERB
ESP
EMXX
EVBN
EVK
EPM
EPM^A
XRA
FPI
FPP
FPP/WS
FEN
FWV
BDL
FSI
FTF
FSP
FRD
FRS
GGN
GGN^B
EGAS
GST
GST^A
GST^B
JOB
GMO
GIG
GSB
GSAT
GLOW
GORO
GSV
AUMN
GSS
GV
GRC
GTE
GPL
GRH
GRH^C
SIM
GVP
HEB
HLM^
HMG
HH
HUSA
IBIO
IBO
IEC
IG
IMUC
IMH
IMO
IOT
IRT
IGC
IGC/WS
INFU
IHT
NSPR
IFMI
IDN
INS
THM
INTT
INUV
VKI
ISR
ISDR
ITI
KIQ
LTS
LTS^A
LSG
LAQ
LGL
LGL/WS
LBY
LBMH
LIQT
LEI
MCZ
MVG
MHR^C
MHR^D
MHR^E
MSTX
MHH
MDGN
MDGN/WS
IPB
MEA
MXC
CCA
MGT
MDW
MGH
MGN
MDM
MVF
MZA
NNVC
NHC
NHC^A
NAVB
NTIP
NBW
NHS
NBH
NML
NBO
NRO
CUR
UWN
NSU
GBR
NEN
NGD
PAL
NAK
NOG
NBY
NCQ
NG
NTN
NVX
NZH
NCB
CFD
NXZ
NZF
NVG
CTF
NOM
NMZ
NJV
NXK
NYV
NPN
JRS
OGEN
TIS
ONVO
ONP
OESX
OSGB
ORM
PHF
PBM
PCG^A
PCG^B
PCG^C
PCG^D
PCG^E
PCG^G
PCG^H
PCG^I
PTN
PARR
PZG
PRK
PED
PFNX
PIP
HNW
PLG
PLM
PW
PW^A
APTS
PLX
PVCT
QRM
RLGT
RLGT^A
REE
UTG
REED
RWC
RCG
RVP
RVM
RNN
RIC
REI
RIF
RPI
RBY
SGA
SSN
SPP
SAND          
SARA
SEB
SVT
SIF
SVBL
SVLC
SKY
SLI
XPL
SCE^B
SCE^C
SCE^D
SCE^E
SGB
LOV
STRP
SSY
SDPI
STS
SYRG
SYN
TRX
TGB
TAS
TRC/WS
TIK
TGC
GLU
GLU^A
TXMD
TPI
IDI
TLR
TGD
TOF
TMP
TAT
TRXC
TPLM
TRT
HTM
UAMY
UUU
UQM
URG
URZ
UEC
VTG
VSR
VII
VHC
VGZ
VISI
EAD
ERC
ERH
SBI
WRN
WYY
WTT
YUMA
YUMA^A
ZBB
