FOXA
DDD
MMM
AAN
ABT
ABBV
ANF
ACN
ACE
ACT
ATVI
AYI
ADBE
ADT
AAP
AMD
ACM
AES
AET
AMG
AFL
AGCO
A
GAS
AL
APD
ARG
AKAM
ALK
ALB
AA
ALR
ARE
ALXN
ALGN
ALKS
Y
ATI
ALLE
AGN
ADS
LNT
ATK
AWH
ALSN
MDRX
ALL
ALLY
ALNY
ALTR
MO
AMZN
AMCX
DOX
UHAL
AEE
AAL
ACC
AGNC
AEP
AXP
AFG
AMH
AIG
ANAT
ARCP
AMT
AWK
AMP
ABC
AME
AMGN
APH
APC
ADI
NLY
ANSS
AR
AOL
AON
APA
AIV
APOL
AAPL
AMAT
ATR
WTR
ARMK
ACGL
ADM
AWI
ARRS
ARW
APAM
ASNA
ASH
AHL
ASBC
AIZ
AGO
T
ATHN
ATHL
ATML
ATO
ATW
ADSK
ADP
AN
AZO
AVGO
AVB
AVY
CAR
AVT
AVP
AVX
AXS
BWC
BHI
BLL
BYI
BAC
BOH
BK
BKU
BCR
BAX
BBT
BEAV
BDX
BBBY
BMS
WRB
BRK.B
BBY
BIG
BIIB
BMRN
BMR
BIO
BLK
HRB
BA
BOKF
BAH
BWA
BXP
BSX
BDN
EAT
BMY
BRX
BRCM
BR
BRCD
BKD
BRO
BF.B
BRKR
BG
BKW
CHRW
CA
CAB
CVC
CBT
COG
CDNS
CPN
CPT
CAM
CPB
COF
CAH
CFN
CSL
KMX
CCL
CRS
CRI
CTRX
CAT
CBL
CBOE
CBG
CBS
CBSO
CDW
CE
CELG
CNC
CNP
CTL
CERN
CF
CRL
CHTR
LNG
CHK
CVX
CBI
CHS
CIM
CMG
CHH
CB
CHD
CI
XEC
CINF
CNK
CTAS
CSCO
CIT
C
CTXS
CYN
CLH
CCO
CLF
CLX
CME
CMS
CNA
COH
CIE
KO
CCE
CTSH
CFX
CL
CXP
CMCSA
CMA
CBSH
CWH
COMM
CYH
CMP
CSC
CAG
CXO
CNQR
COP
CNX
ED
STZ
CLR
CNW
COO
CPA
CPRT
CLGX
GLW
OFC
CXW
CSGP
COST
COTY
CVD
CVA
COV
CR
CREE
CCI
CCK
CST
CSX
CBST
CFR
CMI
CVI
CVS
CYT
DHI
DHR
DRI
DVA
DDR
DECK
DE
DAL
DNR
XRAY
DVN
DV
DO
DKS
DBD
DLR
DDS
DTV
DFS
DISCA
DISH
DIS
DLB
DG
DLTR
D
DPZ
UFS
DCI
RRD
DEI
DOV
DOW
DPS
DWA
DRC
DRQ
DST
DSW
DTE
DD
DUK
DRE
DNB
DNKN
EMC
ETFC
EXP
EWBC
EMN
ETN
EV
EBAY
SATS
ECL
EIX
EW
EA
EMR
ENDP
ENH
EGN
ENR
ETR
EVHC
EOG
EPE
EQT
EFX
EQIX
ELS
EQR
ERIE
ESS
EL
RE
XLS
EXC
EXPE
EXPD
ESRX
EXR
XOM
FFIV
FB
FDS
FDO
FAST
FRT
FII
FDX
FNF
FIS
FITB
FEYE
FHN
FNFG
FRC
FSLR
FE
FISV
FLT
FLIR
FLO
FLS
FLR
FMC
FTI
FL
F
FCE.A
FRX
FTNT
FBHS
FOSL
FWLT
BEN
FI
FCX
FSL
FTR
FULT
AJG
GME
GLPI
GCI
GPS
GRMN
IT
GMT
GD
GE
GGP
GIS
GM
GWR
G
GNTX
GPC
GNW
GILD
GPN
GNC
GLNG
GS
GT
GOOGL
GOOG
GRA
GGG
GHC
GWW
GXP
GEF
GRPN
GPOR
HAIN
HAL
HBI
THG
HOG
HAR
HRS
HIG
HAS
HE
HCA
HCC
HCP
HDS
HCN
HNT
HTA
HP
JKHY
HLF
HSY
HTZ
HES
HPQ
HXL
HRC
HLT
HFC
HOLX
HD
HME
AWAY
HON
HRL
HSP
HPT
HST
HHC
HUB.B
HCBK
HUM
JBHT
HBAN
HII
HUN
H
IACI
IEX
IDXX
IHS
ITW
ILMN
IMS
INCY
INFA
IR
IM
INGR
TEG
INTC
IBKR
ICPT
ICE
IP
IPG
IBM
IFF
IGT
INTU
ISRG
IVZ
IPGP
IRM
ITC
ITT
JBL
JEC
JAH
JAZZ
JDSU
JNJ
JCI
JLL
JOY
JPM
JNPR
KSU
KAR
KATE
KBR
K
KMT
GMCR
KEY
KRC
KMB
KIM
KMI
KEX
KLAC
KN
KSS
KOS
KRFT
KR
LB
LLL
LH
LRCX
LAMR
LSTR
LPI
LVS
LAZ
LEA
LM
LEG
LDOS
LEN
LII
LUK
LVLT
LXK
LINTA
LMCA
LPT
LVNTA
LPNT
LLY
LECO
LNC
LLTC
LNKD
LGF
LYV
LKQ
LMT
L
LO
LOW
LPLA
LYB
MTB
MAC
M
MSG
MNK
MTW
MAN
MRO
MPC
MKL
MAR
MMC
MLM
MRVL
MAS
MA
MAT
MXIM
MBI
MKC
MCD
MHFI
MCK
MDU
MJN
MWV
MDVN
MD
MDT
MRK
MCY
MET
MTD
MFA
MGM
KORS
MCHP
MU
MCRS
MSFT
MAA
MIDD
MHK
TAP
MDLZ
MON
MNST
MCO
MS
MORN
MOS
MSI
MRC
MSM
MSCI
MUR
MUSA
MYL
MYGN
NBR
NDAQ
NFG
NATI
NOV
NNN
NSM
NAVI
NAV
NCR
NTAP
NFLX
N
NYCB
NWL
NFX
NEU
NEM
NWSA
NEE
NLSN
NKE
NI
NBL
NDSN
JWN
NSC
NU
NTRS
NOC
NRF
NCLH
DNOW
NRG
NUS
NUAN
NUE
NVDA
NVR
ORLY
OAS
OXY
OII
OCN
OGE
OIS
ODFL
ORI
OHI
OCR
OMC
ONNN
OKE
ORCL
OSK
OC
OI
PCAR
PKG
PACW
PLL
PANW
P
PNRA
PH
PRE
PDCO
PTEN
PAYX
PBF
BTU
JCP
PAG
PNR
PBCT
POM
PEP
PKI
PRGO
PETM
PFE
PCG
PCYC
PM
PSX
PDM
PPC
PF
PNW
PXD
PBI
PAH
PCL
PNC
PII
BPOP
PPS
PPG
PPL
PX
PCP
PINC
TROW
PFG
PRA
PG
PGR
PLD
PL
PRU
PTC
PSA
PEG
PHM
PVH
QEP
QGEN
QCOM
PWR
DGX
STR
QCOR
Q
RAX
RL
RRC
RJF
RYN
RTN
RLGY
O
RHT
RBC
RGC
REG
REGN
RF
RGA
RS
RNR
RSG
RMD
RPAI
RAI
RICE
RAD
RVBD
RHI
RKT
ROK
COL
ROC
ROL
ROP
ROST
ROVI
RDC
RCL
RGLD
RES
RPM
R
SABR
SWY
CRM
SLXP
SBH
SNDK
SD
SC
SBAC
SCG
HSIC
SLB
SCHW
SMG
SNI
SDRL
SEE
SHLD
SGEN
SEAS
SEIC
SRE
SNH
SCI
NOW
SHW
SIAL
SBNY
SIG
SLGN
SPG
SIRI
SIRO
SIX
SWKS
SLG
SLM
SM
AOS
SJM
SNA
SCTY
SWI
SLH
SON
SO
SCCO
LUV
SWN
SE
SPB
SPR
SAVE
SRC
SPLK
S
SFM
SPW
STJ
SFG
SWK
SPLS
SBUX
HOT
STWD
STRZA
STT
STLD
SRCL
SSYS
SYK
SUNE
SPWR
STI
SPN
SIVB
SYMC
SNPS
SNV
SYY
DATA
TAHO
SKT
TRGP
TGT
TCO
TMHC
TCB
AMTD
TECD
TECH
TE
TK
TFX
TDS
TPX
THC
TDC
TER
TEX
TSLA
TSO
TXN
TXT
TFSL
HSH
PCLN
WEN
TMO
TRI
THO
TIBX
TDW
TIF
TWC
TWX
TKR
TJX
TMUS
TOL
TMK
TTC
TSS
TW
TSCO
TDG
TRV
TRMB
TRN
TRIP
TGI
TRW
TUP
TWTC
TWTR
TWO
TYC
TSN
USG
UDR
UGI
ULTA
UPL
UA
UNP
UNT
UAL
UPS
URI
USM
X
UTX
UTHR
UNH
UHS
UNM
URBN
URS
USB
VFC
VLO
VR
VMI
VAL
VNTV
VAR
WOOF
VVC
VEEV
VTR
PAY
VRSN
VRSK
VZ
VRTX
VIAB
V
VSH
VC
VMW
VNO
VOYA
VMC
WPC
WBC
WAB
WDR
WMT
WAG
WPG
WCN
WM
WAT
WRI
WLP
WFC
WCC
WR
WDC
WU
WLK
WY
WHR
WTM
WWAV
WLL
WFM
JW.A
WMB
WSM
WIN
WEC
WDAY
INT
WPX
WYN
WYNN
XEL
XRX
XLNX
XL
XYL
YHOO
YELP
YUM
ZBRA
Z
ZMH
ZION
ZTS
ZU
ZNGA
