MMM
ABT
ABBV
ACN
ACE
ACT
ADBE
AES
AET
AFL
A
GAS
APD
ARG
AKAM
AA
ALXN
ATI
ALLE
AGN
ADS
ALL
ALTR
MO
AMZN
AEE
AEP
AXP
AIG
AMT
AMP
ABC
AME
AMGN
APH
APC
ADI
AON
APA
AIV
AAPL
AMAT
ADM
AIZ
T
ADSK
ADP
AN
AZO
AVGO
AVB
AVY
AVP
BHI
BLL
BAC
BCR
BAX
BBT
BDX
BBBY
BMS
BRK-B
BBY
BIIB
BLK
HRB
BA
BWA
BXP
BSX
BMY
BRCM
BF-B
CA
CVC
COG
CAM
CPB
COF
CAH
CFN
KMX
CCL
CAT
CBG
CBS
CELG
CNP
CTL
CERN
CF
CHRW
CHK
CVX
CMG
CB
CI
XEC
CINF
CTAS
CSCO
C
CTXS
CLX
CME
CMS
COH
KO
CCE
CTSH
CL
CMCSA
CMA
CSC
CAG
COP
CNX
ED
STZ
GLW
COST
COV
CCI
CSX
CMI
CVS
DHR
DRI
DVA
DE
DLPH
DAL
DNR
XRAY
DVN
DO
DTV
DFS
DISCA
DG
DLTR
D
DOV
DOW
DPS
DTE
DUK
DNB
ETFC
DD
EMN
ETN
EBAY
ECL
EIX
EW
EA
EMC
EMR
ESV
ETR
EOG
EQT
EFX
EQR
ESS
EL
EXC
EXPE
EXPD
ESRX
XOM
FFIV
FB
FDO
FAST
FDX
FIS
FITB
FSLR
FE
FISV
FLIR
FLS
FLR
FMC
FTI
F
FRX
FOSL
BEN
FCX
FTR
GME
GCI
GPS
GRMN
GD
GE
GGP
GIS
GM
GPC
GNW
GILD
GS
GT
GOOGL
GOOG
GHC
GWW
HAL
HOG
HAR
HRS
HIG
HAS
HCP
HCN
HP
HSY
HES
HPQ
HD
HON
HRL
DHI
HSP
HST
HCBK
HUM
HBAN
ITW
IR
TEG
INTC
ICE
IPG
IBM
IFF
IP
INTU
ISRG
IVZ
IRM
JBL
JEC
JNJ
JCI
JOY
JPM
JNPR
KSU
K
GMCR
KEY
KMB
KIM
KMI
KLAC
KSS
KRFT
KR
LB
LLL
LH
LRCX
LM
LEG
LEN
LUK
LLY
LNC
LLTC
LMT
L
LO
LOW
LYB
MTB
MAC
M
MRO
MPC
MAR
MMC
MAS
MA
MAT
MKC
MCD
MHFI
MCK
MJN
MWV
MDT
MRK
MET
KORS
MCHP
MU
MSFT
MHK
TAP
MDLZ
MON
MNST
MCO
MS
MOS
MSI
MUR
MYL
NBR
NDAQ
NOV
NAVI
NTAP
NFLX
NWL
NFX
NEM
NWSA
NEE
NLSN
NKE
NI
NE
NBL
JWN
NSC
NU
NTRS
NOC
NRG
NUE
NVDA
ORLY
OXY
OMC
OKE
ORCL
OI
PCAR
PLL
PH
PDCO
PAYX
BTU
PNR
PBCT
POM
PEP
PKI
PRGO
PETM
PFE
PCG
PM
PSX
PNW
PXD
PBI
PCL
PNC
PPG
PPL
PX
PCP
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
PVH
QEP
QCOM
PWR
DGX
RL
RRC
RTN
RHT
REGN
RF
RSG
RAI
RHI
ROK
COL
ROP
ROST
RDC
R
SWY
CRM
SNDK
SCG
SLB
SCHW
SNI
STX
SEE
SRE
SHW
SIAL
SPG
SJM
SNA
SO
LUV
SWN
SE
STJ
SWK
SPLS
SBUX
HOT
STT
SRCL
SYK
STI
SYMC
SYY
TROW
TGT
TEL
TE
THC
TDC
TSO
TXN
TXT
ADT
BK
PCLN
WMB
TMO
TIF
TWC
TWX
TJX
TMK
TSS
TSCO
RIG
TRV
TRIP
FOXA
TYC
TSN
UA
UNP
UPS
X
UTX
UNH
UNM
URBN
USB
VLO
VAR
VTR
VRSN
VZ
VRTX
VFC
VIAB
V
VNO
VMC
WMT
WAG
DIS
WM
WAT
WLP
WFC
WDC
WU
WY
WHR
WFM
WIN
WEC
WYN
WYNN
XEL
XRX
XLNX
XL
XYL
YHOO
YUM
ZMH
ZION
ZTS
